280,BIRLACORPN,910,948,909.5,926.55,920.65,908.4,113506,105516615.2,9116
281,BIRLAMONEY,56.8,59,55.1,56.45,55.9,56.35,399430,22747084.75,3201
282,BKMINDST,1.9,2,1.9,1.9,1.9,2,50422,95853,159
283,BLBLIMITED,17.3,17.3,16.6,16.85,16.75,16.95,16194,273462.4,134
284,BLISSGVS,78.4,84,76.55,78.75,78.5,77.2,893552,73207655.55,10317
285,BLKASHYAP,23.1,24.2,23,23.95,23.95,23.1,227185,5395233.1,831
286,BLS,211.7,231.95,210.15,225.95,230.5,210.05,5500920,1215524260,174572
287,BLUEDART,8148.55,8199.55,8040,8170.5,8167.5,8133.9,10975,89187485.75,3198
288,BLUESTARCO,975.45,996.9,964.15,991.9,985.5,975.45,187524,185334050.3,9027
289,BODALCHEM,88.15,88.45,85.75,86.45,86.65,87.95,170064,14737038.7,4172
290,BOMDYEING,96.75,96.95,94.7,95.8,95.75,96.3,1050095,100357234,5433
291,BOROLTD,329.1,333.4,322.55,326.15,325,328.9,111633,36445278.2,5654
292,BORORENEW,621.8,631,618.8,626.9,627.5,617.5,177476,110980572,9125
293,BOSCHLTD,16009.2,16525,16009.2,16434.35,16450,16009.2,27102,441395618,8009
294,BPCL,308,313.15,306.1,312.1,312.7,306.15,5012177,1549865112,45849
295,BPL,72.9,72.9,67.65,70.15,69,70.95,187014,13073961.05,1918
296,BRIGADE,455,458.35,451.3,453.6,453.1,451.2,28813,13099392.3,2330
297,BRIGHT,4.35,4.55,4.25,4.45,4.5,4.35,24000,106350,8
298,BRITANNIA,3785,3862.8,3779.1,3848.9,3850.1,3774.15,660790,2531185671,52799
299,BRITANNIA,32.05,32.18,32.05,32.07,32.07,32.05,11071,355057.79,25
300,BRITANNIA,28.65,28.65,28.18,28.2,28.2,28.21,2540,71656.87,62
301,BRNL,31.75,34.85,31.55,33.45,33.5,31.75,188059,6313932.6,2019
302,BROOKS,81.15,83.8,80.05,80.9,82.5,82.75,5010,406517.85,57
303,BSE,660,664.05,642.2,649.1,648,658.7,919933,597472438.7,23835
304,BSHSL,394,414.9,394,410.4,410.1,413.85,641,260967.75,25
